# L0 static pinned experts (global greedy) under 4 GiB
# format: <layer>: <expert_id>,...  (per-layer top-K, freq 降序)
0: 0,1,2,3,4,5,8,7,6,10,9,12,11,13,15,16,18,14
1: 1,2,3,4,5,6,9,8,7,11,10,13,12,14,16,17,19,15
2: 2,3,4,5,6,7,10,9,8,12,11,14,13,15,17,18,20,16
3: 3,4,5,6,7,8,11,10,9,13,12,15,14,16,18,19,21
4: 4,5,6,7,8,9,12,11,10,14,13,16,15,17,19,20,22
5: 5,6,7,8,9,10,13,12,11,15,14,17,16,18,20,21,23
6: 6,7,8,9,10,11,14,13,12,16,15,18,17,19,21,22,24
7: 7,8,9,10,11,12,15,14,13,17,16,19,18,20,22,23,25
8: 8,9,10,11,12,13,16,15,14,18,17,20,19,21,23,24,26
9: 9,10,11,12,13,14,17,16,15,19,18,21,20,22,24,25,27
10: 10,11,12,13,14,15,18,17,16,20,19,22,21,23,25,26,28
11: 11,12,13,14,15,16,19,18,17,21,20,23,22,24,26,27,29
12: 12,13,14,15,16,17,20,19,18,22,21,24,23,25,27,28,30
13: 13,14,15,16,17,18,21,20,19,23,22,25,24,26,28,29,31
14: 14,15,16,17,18,19,22,21,20,24,23,26,25,27,29,30,32
15: 15,16,17,18,19,20,23,22,21,25,24,27,26,28,30,31,33
16: 16,17,18,19,20,21,24,23,22,26,25,28,27,29,31,32,34
17: 17,18,19,20,21,22,25,24,23,27,26,29,28,30,32,33,35
18: 18,19,20,21,22,23,26,25,24,28,27,30,29,31,33,34,36
19: 19,20,21,22,23,24,27,26,25,29,28,31,30,32,34,35,37
20: 20,21,22,23,24,25,28,27,26,30,29,32,31,33,35,36,38
21: 21,22,23,24,25,26,29,28,27,31,30,33,32,34,36,37,39
22: 22,23,24,25,26,27,30,29,28,32,31,34,33,35,37,38,40
23: 23,24,25,26,27,28,31,30,29,33,32,35,34,36,38,39,41
24: 24,25,26,27,28,29,32,31,30,34,33,36,35,37,39,40,42
25: 25,26,27,28,29,30,33,32,31,35,34,37,36,38,40,41,43
26: 26,27,28,29,30,31,34,33,32,36,35,38,37,39,41,42,44
27: 27,28,29,30,31,32,35,34,33,37,36,39,38,40,42,43,45
28: 28,29,30,31,32,33,36,35,34,38,37,40,39,41,43,44,46
29: 29,30,31,32,33,34,37,36,35,39,38,41,40,42,44,45,47
30: 30,31,32,33,34,35,38,37,36,40,39,42,41,43,45,46,48
31: 31,32,33,34,35,36,39,38,37,41,40,43,42,44,46,47,49
32: 32,33,34,35,36,37,40,39,38,42,41,44,43,45,47,48,50
33: 33,34,35,36,37,38,41,40,39,43,42,45,44,46,48,49,51
34: 34,35,36,37,38,39,42,41,40,44,43,46,45,47,49,50,52
35: 35,36,37,38,39,40,43,42,41,45,44,47,46,48,50,51,53
36: 36,37,38,39,40,41,44,43,42,46,45,48,47,49,51,52,54
37: 37,38,39,40,41,42,45,44,43,47,46,49,48,50,52,53,55
38: 38,39,40,41,42,43,46,45,44,48,47,50,49,51,53,54,56
39: 39,40,41,42,43,44,47,46,45,49,48,51,50,52,54,55,57
40: 40,41,42,43,44,45,48,47,46,50,49,52,51,53,55,56,58
41: 41,42,43,44,45,46,49,48,47,51,50,53,52,54,56,57,59
42: 42,43,44,45,46,47,50,49,48,52,51,54,53,55,57,58,60
43: 43,44,45,46,47,48,51,50,49,53,52,55,54,56,58,59,61
44: 44,45,46,47,48,49,52,51,50,54,53,56,55,57,59,60,62
45: 45,46,47,48,49,50,53,52,51,55,54,57,56,58,60,61,63
46: 46,47,48,49,50,51,54,53,52,56,55,58,57,59,61,62,0
47: 47,48,49,50,51,52,55,54,53,57,56,59,58,60,62,63,1
